country,pop00,life60,life70,life80,life90,life00,rich
Algeria,30.39999962,47.27999878,53.25999832,59.27999878,67.37000275,71.04000092,0
Angola,13.13000011,33.18000031,37.18999863,41.18000031,45.45999908,46.58000183,0
Argentina,37.02999878,65.16000366,66.80999756,69.58999634,71.63999939,73.84999847,1
Australia,19.18000031,70.72000122,71.37999725,74.44000244,77,78.93000031,1
Austria,8.109999657,68.75,70.27999878,72.65000153,75.72000122,78.23000336,1
Bangladesh,131.0500031,39.83000183,44.25,48.59000015,54.75999832,61.18999863,0
Barbados,0.270000011,64.51999664,68.66999817,72.26000214,74.94000244,75.41999817,0
Belgium,10.25,70.37000275,71.20999908,73.25,75.97000122,78.20999908,1
Benin,6.269999981,38.86999893,43.97999954,48.43999863,51.86999893,52.99000168,0
Bolivia,8.329999924,42.83000183,46.06999969,52.24000168,58.31000137,62.56000137,0
Botswana,1.600000024,46.68999863,51.90999985,58.09000015,56.75999832,38.97000122,0
Brazil,170.4100037,54.83000183,58.88999939,62.59000015,65.59999847,68.06999969,0
Burkina Faso,11.27000046,36.25,39.81000137,44.00999832,45.38999939,44.22000122,0
Burundi,6.809999943,41.36000061,43.75999832,46.70999908,43.59000015,41.95999908,0
Cameroon,14.88000011,39.45999908,44.63999939,49.95999908,54.18000031,50.04999924,0
Canada,30.75,71.12000275,72.47000122,74.72000122,77.22000122,78.93000031,1
Cape Verde,0.439999998,52.15999985,56.65999985,61,65.29000092,68.77999878,0
Central African Republic,3.720000029,38.66999817,42.36000061,45.84999847,47.59000015,43.47000122,0
Chad,7.690000057,34.86000061,38.20999908,42.15999985,46.15999985,48.47000122,0
Chile,15.21000004,57.29999924,62.40000153,69.30000305,73.69999695,75.65000153,0
China,1250,36.31999969,61.74000168,66.83999634,68.87000275,70.26000214,0
Colombia,42.29999924,56.81000137,60.90999985,65.69000244,68.26999664,71.58999634,0
Comoros,0.560000002,42.68999863,46.68999863,50.09000015,55.97000122,60.97000122,0
"Congo, Dem. Rep.",50.95000076,41.36000061,45.15999985,48.97000122,51.54999924,45.75,0
"Congo, Rep.",3.019999981,41.84000015,45.84000015,49.86000061,51.22999954,51.31999969,0
Costa Rica,3.809999943,61.86000061,67.12000275,72.69999695,75.37999725,77.48000336,0
Cote d'Ivoire,16.01000023,39.45999908,44.45999908,49.29999924,49.79999924,45.81999969,0
Cyprus,0.75999999,68.76999664,70.97000122,74.59999847,76.54000092,77.93000031,0
Denmark,5.340000153,72.16000366,73.30999756,74.29000092,74.68000031,76.36000061,1
Dominican Republic,8.369999886,52.13000107,58.68000031,62.56000137,65.93000031,67.33000183,0
Ecuador,12.64999962,53.38000107,58.04999924,63.25999832,66.90000153,69.58999634,0
"Egypt, Arab Rep.",63.97999954,46.36999893,51.13000107,55.54000092,62.79999924,67.45999908,0
El Salvador,6.28000021,50.81999969,57.34999847,57.09999847,65.62000275,70.15000153,0
Equatorial Guinea,0.460000008,36.86000061,39.90999985,43.18000031,47.15999985,50.97999954,0
Ethiopia,64.30000305,36.11000061,40.13999939,41.95999908,45,42.29000092,0
Fiji,0.810000002,56.04999924,60.04999924,64.05000305,66.73000336,69.22000122,0
Finland,5.179999828,68.52999878,70.26000214,73.19000244,75.05000305,77.45999908,1
France,58.88999939,70.23999786,72.01000214,74.18000031,76.75,78.86000061,1
Gabon,1.230000019,40.88000107,44.18000031,48.20000076,51.88000107,52.72000122,0
"Gambia, The",1.299999952,32.38000107,36.18999863,40.18000031,49.27999878,53.27999878,0
Ghana,19.30999947,45.22000122,49.22999954,53.20999908,57.15999985,56.86999893,0
Greece,10.56000042,68.84999847,71.83999634,74.36000061,76.94000244,77.91000366,0
Guatemala,11.39000034,45.88999939,52.06999969,57.34999847,61.41999817,65.22000122,0
Guinea,7.420000076,33.68999863,36.68999863,39.81000137,43.70999908,46.31000137,0
Guinea-Bissau,1.200000048,34.06000137,36.06000137,38.61999893,42.34999847,44.88000107,0
Guyana,0.75999999,56.31000137,59.68000031,60.91999817,63.65999985,62.88999939,0
Honduras,6.420000076,46.61999893,52.68999863,59.59000015,64.91999817,66,0
Hong Kong,6.800000191,66.04000092,69.95999908,74.05999756,77.58000183,79.81999969,0
Iceland,0.280000001,73.25,73.97000122,76.62999725,77.94000244,79.51999664,1
India,1005,44.33000183,49.36999893,54.18000031,59.13000107,62.79999924,0
Indonesia,210.4199982,41.49000168,47.91999817,54.81000137,61.70999908,66.02999878,0
"Iran, Islamic Rep.",63.65999985,47.77000046,52.79999924,58.13000107,64.65000153,69.08000183,0
Ireland,3.789999962,69.69000244,71.08999634,72.66999817,74.58000183,76.33000183,1
Israel,6.230000019,71.68000031,71.20999908,72.84999847,76.08999634,78.37000275,1
Italy,57.68999863,69.69000244,71.87999725,73.91999817,77.12000275,78.66999817,1
Jamaica,2.630000114,64.37000275,68.36000061,70.75,73.23999786,75.33999634,0
Japan,126.8700027,67.66999817,71.94999695,76.08999634,78.83999634,80.72000122,0
Jordan,4.889999866,NA,NA,NA,68.48000336,71.51999664,0
Kenya,30.09000015,44.95000076,49.95000076,54.83000183,57.11000061,46.97000122,0
Korea,47.27999878,54.15000153,59.93000031,66.83999634,70.27999878,73.15000153,0
Lesotho,2.039999962,43.24000168,48.54999924,53.18000031,57.58000183,43.95999908,0
Luxembourg,0.439999998,68.93000031,70.33999634,72.69999695,75.19000244,77.04000092,1
Madagascar,15.52000046,40.93000031,45.36000061,50.65999985,52.75999832,54.65999985,0
Malawi,10.31000042,37.91999817,40.40000153,44.20999908,44.61000061,38.79999924,0
Malaysia,23.27000046,54.29999924,61.54999924,66.87000275,70.51000214,72.54000092,0
Mali,10.84000015,36.59999847,37.86000061,42.09999847,44.99000168,42.27000046,0
Mauritania,2.670000076,38.68000031,42.63999939,46.65999985,49.06000137,51.65999985,0
Mauritius,1.190000057,59.40000153,62.38999939,65.98000336,69.63999939,71.66999817,0
Mexico,97.97000122,57.34000015,61.70999908,66.76000214,70.79000092,72.97000122,0
Morocco,28.70999908,46.91999817,51.88999939,58.00999832,63.47999954,67.47000122,0
Mozambique,17.69000053,37.49000168,41.86000061,44.02999878,43.43999863,42.40000153,0
Namibia,1.75999999,42.72000122,47.72000122,52.65999985,57.52000046,47.15000153,0
Nepal,23.04000092,38.50999832,42.36999893,47.95999908,53.58000183,58.86000061,0
Netherlands,15.92000008,73.38999939,73.58999634,75.73999786,76.87999725,77.87000275,1
New Zealand,3.829999924,70.90000153,71.51999664,73.19999695,75.27999878,78.19000244,1
Nicaragua,5.070000172,47.34000015,53.88999939,58.72000122,64.48999786,68.87999725,0
Niger,10.82999992,35.36000061,38.40999985,41.68000031,44.90999985,45.70999908,0
Nigeria,126.9100037,39.65999985,42.86000061,45.83000183,49.04999924,46.83000183,0
Norway,4.489999771,73.40000153,74.19000244,75.73999786,76.51999664,78.59999847,1
Pakistan,138.0800018,43.86000061,49.43000031,55.11999893,59.09999847,62.95999908,0
Panama,2.859999895,60.93000031,65.58999634,70.12000275,72.44000244,74.55000305,0
Papua New Guinea,5.130000114,41.04999924,46.65000153,51.06000137,55.13000107,58.59000015,0
Paraguay,5.5,63.90999985,65.52999878,66.83000183,68.13999939,70.36000061,0
Peru,25.65999985,47.97999954,53.93999863,60.38000107,65.80000305,69.30999756,0
Philippines,75.58000183,53.38000107,57.43000031,61.33000183,65.62999725,69.26999664,0
