"","Country","ID","IDNum","Year","GDPcapImp","ssafrica","mideast","me_nafr","oecd"
"33","Angola","AGO",4,1975,397,1,0,0,0
"34","Angola","AGO",4,1976,374,1,0,0,0
"35","Angola","AGO",4,1977,397,1,0,0,0
"36","Angola","AGO",4,1978,435,1,0,0,0
"37","Angola","AGO",4,1979,469,1,0,0,0
"38","Angola","AGO",4,1980,605,1,0,0,0
"39","Angola","AGO",4,1981,637,1,0,0,0
"40","Angola","AGO",4,1982,665,1,0,0,0
"41","Angola","AGO",4,1983,662,1,0,0,0
"42","Angola","AGO",4,1984,680,1,0,0,0
"43","Angola","AGO",4,1985,711,1,0,0,0
"44","Angola","AGO",4,1986,654,1,0,0,0
"45","Angola","AGO",4,1987,672,1,0,0,0
"46","Angola","AGO",4,1988,710,1,0,0,0
"47","Angola","AGO",4,1989,696,1,0,0,0
"48","Angola","AGO",4,1990,1703.145,1,0,0,0
"49","Angola","AGO",4,1991,1703.145,1,0,0,0
"50","Angola","AGO",4,1992,2095.766,1,0,0,0
"51","Angola","AGO",4,1993,1655.264,1,0,0,0
"52","Angola","AGO",4,1994,1722.297,1,0,0,0
"53","Angola","AGO",4,1995,2316.017,1,0,0,0
"54","Angola","AGO",4,1996,1549.927,1,0,0,0
"55","Angola","AGO",4,1997,1415.861,1,0,0,0
"80","Albania","ALB",5,1990,2038.309,0,0,0,0
"81","Albania","ALB",5,1991,1540.351,0,0,0,0
"82","Albania","ALB",5,1992,1521.199,0,0,0,0
"83","Albania","ALB",5,1993,1712.721,0,0,0,0
"84","Albania","ALB",5,1994,1894.667,0,0,0,0
"85","Albania","ALB",5,1995,2076.614,0,0,0,0
"86","Albania","ALB",5,1996,2258.56,0,0,0,0
"87","Albania","ALB",5,1997,2076.614,0,0,0,0
"92","United Arab Emirates","ARE",7,1975,16469.53,0,1,1,0
"93","United Arab Emirates","ARE",7,1976,16115.21,0,1,1,0
"94","United Arab Emirates","ARE",7,1977,16517.41,0,1,1,0
"95","United Arab Emirates","ARE",7,1978,14975.65,0,1,1,0
