grade,HW1,HW2,HW3,Quiz 1,Quiz 2
0.62,0.9,0.25,0.81,0.444444444,0.77
0.7,0.89,0.62,0.87,0.611111111,0.59
0.73,0.92,0.93,0.84,0.444444444,0.59
0.74,0.93,0.97,0.8,0.333333333,
0.76,0.99,0.35,0.65,0.944444444,0.95
0.78,0.86,0.97,0.82,0.611111111,0.66
0.79,0.7,0.82,0.49,0.944444444,0.95
0.79,0.85,0.85,0.87,0.611111111,0.81
0.81,0.91,1,0.9,0.555555556,0.72
0.81,0.95,0.95,0.96,0.444444444,0.77
0.82,0.94,0.75,0.85,0.666666667,0.92
0.82,0.85,0.77,0.78,0.777777778,0.92
0.827,0.917105263,0.857297297,0.854571429,0.78978979,0.802285714
0.83,0.81,0.94,0.81,0.944444444,0.66
0.83,0.8,0.93,0.88,0.722222222,0.81
0.85,0.96,0.87,0.96,0.777777778,0.72
0.86,0.98,0.95,0.9,0.722222222,0.81
0.86,1,1,0.87,0.833333333,0.66
0.87,0.92,1,0.59,0.944444444,0.89
0.87,0.92,0.88,0.97,0.833333333,0.77
0.89,0.89,0.87,0.88,0.944444444,0.85
0.9,0.97,0.95,0.81,1,0.81
0.9,0.98,0.93,0.87,0.944444444,0.81
0.91,0.97,0.88,0.84,0.944444444,0.92
0.91,0.9,0.95,0.89,1,0.81
0.91,0.95,0.95,0.93,0.833333333,0.92
0.92,0.98,1,,0.944444444,0.77
0.92,0.95,0.94,0.93,1,0.77
0.92,1,0.95,0.94,0.944444444,0.77
0.93,0.92,1,0.95,0.944444444,0.85
0.93,1,0.9,0.86,0.944444444,0.97
0.93,1,1,0.95,1,0.72
0.93,0.95,1,0.99,1,0.72
0.96,0.99,0.95,0.89,1,0.97
0.97,0.97,1,0.89,1,0.97
0.97,0.96,0.95,0.99,1,0.97
