oh,grade,hw1,hw2,q1
1,0.77,0.94,0.75,0.666666667
0,0,,,
1,0.81,0.91,1,0.555555556
0,0.68,0.89,0.62,0.611111111
0,0.96,0.92,1,0.944444444
0,0.81,0.86,0.97,0.611111111
0,0.84,0.7,0.82,0.944444444
1,0.93,0.97,0.88,0.944444444
0,0.3,0.74,0,
0,0.97,0.98,1,0.944444444
0,0.94,1,0.9,0.944444444
1,0.95,0.95,0.95,
0,0.63,,0.7,0.555555556
1,0.96,0.98,0.95,
0,0.86,0.96,0.87,0.777777778
0,0.98,0.99,0.95,1
0,0.9,0.89,0.87,0.944444444
1,1,1,,
0,0.73,0.99,0.35,0.944444444
0,0,,,
1,0.72,0.93,0.97,0.333333333
0,0.97,0.97,0.95,1
0,0.76,0.85,0.85,0.611111111
0,0.75,0.92,0.93,0.444444444
0,0.49,0.9,0.25,0.444444444
0,0.97,0.95,0.94,1
0,0.95,0.98,0.93,0.944444444
1,0.96,1,0.95,0.944444444
0,0.29,0.65,,0.055555556
0,0,,,
0,0.96,0.92,1,0.944444444
0,0.94,1,1,0.833333333
0,0.79,0.85,0.77,0.777777778
1,1,1,1,1
0,0.96,0.9,0.95,1
0,0.91,0.95,0.95,0.833333333
0,0.87,0.92,0.88,0.833333333
1,0.91,0.81,0.94,0.944444444
0,0.99,0.95,1,1
0,0.99,0.97,1,1
1,0.82,0.8,0.93,0.722222222
1,0.97,0.96,0.95,1
0,0.845,0.917105263,0.857297297,0.801587302
