rownum,schoolName,type,satc,admRate,yield,pctRet2,schoolSz,pctLifeOC,finaidAvgAmt
567,Guilford Technical Community College,Public,1760,100.0,32.2,,14997,,6455
939,Owens Community College: Toledo,Public,1620,100.0,22.4,,16993,,7264
635,Florida State College at Jacksonville,Public,1375,100.0,49.4,,30053,,
3271,New Mexico Highlands University,Public,1330,100.0,86.7,55,2416,29,1472
2980,Central Wyoming College,Public,1290,100.0,55.6,,2164,8,
2326,Jarvis Christian College,Private,1045,100.0,22.9,55,603,,12399
2285,University of Texas at El Paso,Public,1395,99.8,48.7,72,19217,,12894
265,Kent State University: Ashtabula,Public,1515,99.5,66.2,49,2511,,7053
1099,Ohio State University Agricultural Technical Institute,Public,1500,99.3,56.8,,612,81,8506
2700,Valencia College,Public,1470,99.2,76.5,,42915,,
1484,Lewis-Clark State College,Public,1470,99.1,51.7,50,4525,,7347
2455,University of Arkansas at Little Rock,Public,1480,99.0,41.0,59,10311,15,
565,Virginia Intermont College,Private,1445,99.0,29.0,61,496,20,19642
279,Ohio State University: Lima Campus,Public,1600,98.8,40.5,62,1067,,7389
2004,Ohio State University: Newark Campus,Public,1535,98.6,41.7,61,2301,8,7777
4181,Ohio State University: Mansfield Campus,Public,1465,98.6,36.0,70,1204,17,7338
2204,Ohio State University: Marion Campus,Public,1585,98.5,48.7,67,1224,,7589
3658,Evergreen State College,Public,1625,98.4,32.9,72,4193,20,8012
3125,Lyndon State College,Public,1395,98.0,23.0,62,1406,50,
4432,Huntington University,Private,1530,97.3,29.7,73,1134,74,19818
356,Southeast Missouri State University,Public,1560,97.2,46.7,74,10541,30,8153
818,South Carolina State University,Public,1235,97.1,22.5,67,,60,
1276,Montana State University: Billings,Public,1525,96.9,52.0,56,4537,18,8553
1710,University of Akron,Public,1535,96.7,40.0,67,22122,15,7276
3885,Utah State University,Public,1665,96.7,43.7,74,25445,,8137
314,Wayland Baptist University,Private,1425,96.6,68.2,48,1385,65,11665
3972,American Jewish University,Private,1575,96.4,48.1,58,125,34,30000
2267,Warren Wilson College,Private,1655,96.3,34.1,,852,90,20005
3240,Kent State University: Stark,Public,1365,96.3,69.1,59,4816,,6601
531,Palm Beach Atlantic University,Private,1535,95.9,33.6,82,2751,38,17836
3880,University of Wyoming,Public,1675,95.7,39.6,76,10194,23,9259
3981,Western State Colorado University,Public,1530,95.6,31.1,64,2103,37,9280
2504,East Central University,Public,1475,95.4,65.8,59,3804,28,
2534,Wichita State University,Public,1565,95.2,40.6,70,12192,,4231
104,Hebrew Theological College,Private,1505,94.8,81.9,,571,,
612,Lynn University,Private,1355,94.7,20.3,69,1657,48,17544
335,Concordia University Texas,Private,1540,94.6,29.4,57,1591,7,17540
2692,Virginia State University,Public,1230,94.4,26.5,67,5570,63,
369,Colorado State University: Pueblo,Public,1425,94.3,30.9,64,5390,19,8616
2607,University of the Incarnate Word,Private,1470,94.1,29.9,75,6404,18,18353
754,Southern Adventist University,Private,1530,94.0,27.9,75,2895,66,
3191,University of Montana,Public,1610,94.0,39.8,74,12657,25,7599
2440,Texas A&M; University-Kingsville,Public,1380,93.5,25.5,62,5967,30,10905
228,Tennessee Technological University,Public,1665,93.2,45.6,73,,27,
703,Oregon Institute of Technology,Public,1525,93.1,45.0,73,3974,11,
1769,Morehead State University,Public,1520,93.0,44.0,67,9725,30,10974
656,Lubbock Christian University,Private,1500,92.8,34.7,65,1640,65,12880
3729,Ferrum College,Private,1380,92.4,23.3,53,1510,90,22561
3970,University of Colorado Colorado Springs,Public,1625,92.4,27.9,66,8354,13,8718
441,Grand View University,Private,1415,92.3,38.5,73,2195,35,21269
3465,Sonoma State University,Public,1505,92.3,14.3,79,8122,37,9613
3942,Western Kentucky University,Public,1485,92.3,42.9,71,18101,29,12766
1500,Menlo College,Private,1505,92.2,10.5,71,681,67,29239
968,Brewton-Parker College,Private,1370,92.2,50.6,46,680,46,13227
3386,Southern Oregon University,Public,1530,92.1,37.1,68,5660,24,8440
3478,Idaho State University,Public,1580,91.9,78.8,60,12143,8,8971
2637,Nicholls State University,Public,1425,91.8,58.4,72,6012,17,
1331,College of Mount St. Vincent,Private,1345,91.7,20.1,71,1691,43,
354,South Dakota State University,Public,1510,91.7,51.3,75,11118,42,8791
471,University of Houston-Downtown,Public,1330,91.5,37.6,67,13709,,7904
