country,gdp,pop,life
Afghanistan,,20595.36,45.29285366
Albania,3686.649387,3304.948,74.23873171
Algeria,54790.05896,31719.449,70.02417073
American Samoa,,57.522,
Andorra,1133.644295,65.399,
Angola,9129.594819,13924.93,45.20492683
Antigua and Barbuda,787.6933913,77.648,
Argentina,284203.7453,36903.067,73.71797561
Armenia,1911.563665,3076.098,70.98943902
Aruba,1873.452514,90.858,73.72009756
Australia,415774.0376,19153,79.23414634
Austria,192070.75,8011.566,78.02682927
Azerbaijan,5272.617196,8048.6,66.75721951
"Bahamas, The",6327.552,297.759,71.62829268
Bahrain,7970.690894,668.239,73.79607317
Bangladesh,47124.92546,132383.265,64.73034146
Barbados,2558.850048,267.19,75.40826829
Belarus,12736.85649,10005,68.91219512
Belgium,232672.7474,10251.25,77.72195122
Belize,831.75,238.586,73.53112195
Benin,2359.122303,6949.366,52.56534146
Bermuda,3480.219,61.833,77.86487805
Bhutan,439.1582335,564.35,61.37421951
Bolivia,8397.858206,8495.271,62.96368293
Bosnia and Herzegovina,5505.984456,3834.364,74.30812195
Botswana,5632.594711,1755.375,50.7654878
Brazil,644701.8311,174504.898,70.13826829
Brunei Darussalam,6001.153318,331.801,76.23234146
Bulgaria,12903.54677,8170.172,71.66341463
Burkina Faso,2610.959139,11607.944,50.20129268
Burundi,870.4860659,6674.286,46.00504878
Cambodia,3654.031716,12222.871,57.46414634
Cameroon,9287.367569,15927.713,50.07126829
Canada,724918.8607,30769.7,79.23658537
Cape Verde,539.2270527,442.426,69.44826829
Cayman Islands,,41.685,
Central African Republic,914.4012566,3638.316,43.66336585
Chad,1385.058212,8301.151,48.48897561
Channel Islands,6439.703435,148.725,77.52412195
Chile,79328.64026,15454.402,76.82173171
China,1198474.934,1262645,71.24170732
Colombia,99886.57758,39897.984,71.00097561
Comoros,201.8998836,528.312,57.87643902
"Congo, Dem. Rep.",4305.296502,46949.244,45.65190244
"Congo, Rep.",3219.910666,3126.204,54.14585366
Costa Rica,15946.44326,3929.588,77.80407317
Cote d'Ivoire,10417.0606,16131.332,50.16087805
Croatia,21517.78466,4426,72.80780488
Cuba,30565.2,11138.416,76.36580488
Curacao,,133.86,
Cyprus,9314.937556,943.287,77.95692683
Czech Republic,58807.24437,10272.322,74.96829268
Denmark,160082.5178,5339.616,76.59268293
Djibouti,551.2308619,722.887,53.85034146
Dominica,324.4638332,69.679,
Dominican Republic,23996.65668,8663.421,70.89370732
Ecuador,18327.38642,12533.087,73.39204878
"Egypt, Arab Rep.",99838.541,66136.59,69.08265854
El Salvador,13134.14777,5958.794,69.70160976
Equatorial Guinea,1242.848857,518.179,48.69026829
Eritrea,706.3708123,3939.348,56.02497561
Estonia,5675.174662,1369.515,70.41707317
Ethiopia,8179.533779,66024.199,51.71012195
Faeroe Islands,1062.339944,46.491,78.83414634
Fiji,1684.109743,811.647,67.60731707
Finland,121793.8087,5176.209,77.46585366
France,1326334.9,60911.057,78.95853659
French Polynesia,3447.543138,237.267,72.42107317
Gabon,5067.865503,1225.527,59.69095122
"Gambia, The",782.9138661,1228.863,55.1567561
Georgia,3057.453461,4418.3,71.56309756
Germany,1886401.327,82211.508,77.92682927
Ghana,4982.849054,18825.034,58.3822439
Greece,124418.1645,10917.482,77.88780488
Greenland,1068.024994,56.2,65.92682927
Grenada,523.2563549,101.62,73.40770732
Guam,,155.328,74.16539024
Guatemala,19290.56657,11204.183,67.74417073
Guinea,2995.360969,8746.128,48.11014634
Guinea-Bissau,215.4566177,1273.312,44.88487805
Guyana,712.6679251,744.471,64.44826829
Haiti,3664.503846,8578.234,58.37207317
Honduras,7105.541205,6235.561,70.38202439
"Hong Kong SAR, China",171668.1641,6665,80.87804878
Hungary,46385.58953,10210.971,71.24634146
Iceland,8697.298234,281.205,79.65365854
India,474691.6277,1042261.758,61.61387805
Indonesia,165021.0123,208938.698,65.64636585
"Iran, Islamic Rep.",101286.515,65911.052,69.73965854
Iraq,25857.10674,23801.156,70.7434878
Ireland,97452.18461,3805.174,76.54073171
Isle of Man,1563.6678,76.806,
Israel,124895.1512,6289,78.95365854
Italy,1104009.463,56942.108,79.42682927
Jamaica,9008.629729,2589.388551,70.47229268
Japan,4731198.76,126870,81.07609756
Jordan,8463.892909,4797,72.07502439
Kazakhstan,18291.99062,14883.626,65.51707317
Kenya,12705.35015,31285.05,52.29963415
Kiribati,68.23981727,82.788,59.53658537
"Korea, Dem. Rep.",,22840.225,65.1105122
"Korea, Rep.",533384.0277,47008,75.8554878
Kosovo,1849.196082,1700,67.95121951
Kuwait,37718.01147,1906.231,73.7524878
Kyrgyz Republic,1369.691955,4898.4,68.55853659
Lao PDR,1731.198022,5388.281,61.39460976
Latvia,7833.068425,2372.985,70.31463415
Lebanon,17260.36484,3235.38,70.63702439
Lesotho,771.2006325,1856.225,47.58636585
Liberia,529.0646467,2891.968,45.96431707
Libya,33896.60087,5176.185,72.5307561
Liechtenstein,2483.890594,33.093,
Lithuania,11434.2,3499.536,72.0195122
Luxembourg,20267.55113,436.3,77.87317073
"Macao SAR, China",6101.794939,431.907,78.53697561
"Macedonia, FYR",3586.883989,2052.129,72.91021951
Madagascar,3877.673635,15744.811,59.67456098
Malawi,1743.506287,11321.496,46.02973171
Malaysia,93789.73684,23420.751,72.1424878
Maldives,624.3371436,272.745,70.37412195
Mali,2422.482318,10260.577,47.24326829
Malta,3957.418083,381.363,78.2
Marshall Islands,110.9377294,52.161,65.23902439
Mauritania,1293.653473,2708.095,56.99478049
Mauritius,4582.562398,1186.873,71.66341463
Mexico,581426.422,103873.607,74.2742439
"Micronesia, Fed. Sts.",233.2263228,107.43,67.27373171
Moldova,1288.420223,3639.588,66.88826829
Monaco,2647.88382,32.081,
Mongolia,1136.896162,2397.473,63.12134146
Montenegro,984.2795964,611.196,74.89002439
Morocco,37020.60982,28710.123,68.67514634
Mozambique,4310.090792,18275.618,47.23785366
Myanmar,,48453,61.85570732
Namibia,3908.598123,1897.953,57.65773171
Nepal,5494.252208,23184.177,61.52163415
